compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,ael_bulk_modulus_reuss
Ir5La1,aflow:380f60d7d8ee8905,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ir5La1_ICSD_104485,191,hP6,215.65
Er4Os8,aflow:c4894ff6abb39331,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Er1Os2_ICSD_630902,194,hP12,215.673
B4Ti3,aflow:9bf188e5fb78ea9c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCI/B4Ti3_ICSD_615598,71,oI14,215.714
P3Ru3Ti3,aflow:f0a50b35c4b5a77b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/P1Ru1Ti1_ICSD_77792,189,hP9,215.726
Mo2O12Rh4,aflow:ab19cb2176f3e811,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Mo1O6Rh2_ICSD_200014,136,tP18,215.805
C1Pt1,aflow:554b4fcd1fea6a34,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pt1_ICSD_181113,216,cF8,215.833
O8Zr4,aflow:70a7a83f10a766bc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/O2Zr1_ICSD_173963,62,oP12,215.848
Re3Si3Ti3,aflow:1cdb1d4965d0158c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Re1Si1Ti1_ICSD_650125,189,hP9,215.946
Be8W4,aflow:bdd9a6f275041001,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Be2W1_ICSD_58754,194,hP12,216.052
Dy1Ir3,aflow:f624b312794a05cd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Dy1Ir3_ICSD_103212,221,cP4,216.133
Ir1Ti1,aflow:2de2986ed2aaa8f8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ir1Ti1_ICSD_104575,123,tP2,216.143
Si6W3,aflow:34071ae9df93c9a4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Si2W1_ICSD_652549,180,hP9,216.474
B6Ni21Zr2,aflow:3956291701684a5e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/B6Ni21Zr2_ICSD_409960,225,cF116,216.511
Al4O10Si2,aflow:38146938a7b4dba5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Al2O5Si1_ICSD_85746,63,oS32,216.629
Ni3Si1,aflow:b31ddd42732eacdd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ni3Si1_ICSD_105343,221,cP4,216.661
Ir4Sc2,aflow:27b333348929ec9d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ir2Sc1_ICSD_104558,227,cF24,216.667
B2Ru3Tb1,aflow:81b1ef3fc2ca4c55,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B2Ru3Tb1_ICSD_615370,191,hP6,216.753
O8Si2Zr2,aflow:9a7322a9c8589a25,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/O4Si1Zr1_ICSD_186167,88,tI24,216.798
Hg1Ni1,aflow:596b0d9e285bb414,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Hg1Ni1_ICSD_100029,123,tP2,217.228
Co2Ta4,aflow:c1efc9ef27886df4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Co1Ta2_ICSD_102815,140,tI12,217.424
O4Rh2,aflow:d8a4ae856daf528c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/O2Rh1_ICSD_28498,136,tP6,217.514
Pd2Ti1,aflow:80b6c3e0c7ea7561,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCI/Pd2Ti1_ICSD_167653,71,oI6,217.608
B12Y1,aflow:dcb115cc81848caa,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/B12Y1_ICSD_23860,225,cF52,217.678
C1Zr1,aflow:7dc8ce524d17e0a9,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/CZr_sv/201,225,cF8,217.69
Nb6Ni16Si7,aflow:91d0bb4f802940b0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Nb6Ni16Si7_ICSD_109220,225,cF116,217.711
Ge4O8,aflow:b3fee2a933904fcf,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ge1O2_ICSD_281600,60,oP12,217.891
B12Sc1,aflow:49c5ad25995cca6f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/B12Sc1_ICSD_68028,225,cF52,217.944
Ga1Ir1,aflow:341c350b9d494069,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ga1Ir1_ICSD_103760,221,cP2,217.956
N4Nb16Ni8,aflow:1f902d0c90930a2a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/N1Nb4Ni2_ICSD_644564,227,cF112,217.983
Hf3P3Ru3,aflow:8c5c614a38210321,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Hf1P1Ru1_ICSD_53035,189,hP9,218.111
B12Dy1,aflow:dc7abd798c5a98a3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/B12Dy1_ICSD_613592,225,cF52,218.267
Pt7Sb1,aflow:b6d3d8ef3f601fcc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pt7Sb1_ICSD_54340,225,cF32,218.294
Hf3Re3Si3,aflow:38a9e95e984203dc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Hf1Re1Si1_ICSD_638814,189,hP9,218.335
B12Sc1,aflow:7341bf3004fb4ae7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/B12Sc1_ICSD_615424,139,tI26,218.482
Be4N8Si4,aflow:9f66b3161bbcc27d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Be1N2Si1_ICSD_25704,33,oP16,218.681
Ni6Ta2,aflow:1a34de1a388ee9f0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ni3Ta1_ICSD_105391,59,oP8,218.686
Re1Ti1,aflow:6b78de2c3b4532ce,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Re1Ti1_ICSD_105896,221,cP2,218.689
B12Ho1,aflow:907f2cf21e911c3b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/B12Ho1_ICSD_614457,225,cF52,218.689
B4Si2V10,aflow:5da96bce418c70e5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/B2Si1V5_ICSD_44490,140,tI32,218.779
B8Fe2,aflow:542b9d66509c3499,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/B4Fe1_ICSD_425311,58,oP10,218.982
C2Fe12W12,aflow:a719b6f247461796,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Fe6W6_ICSD_165458,227,cF104,219.328
C1Ru3Th1,aflow:0e1317893f59ee71,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/C1Ru3Th1_ICSD_77393,221,cP5,219.583
Ce2Os4,aflow:753431d8350d414a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ce1Os2_ICSD_102241,227,cF24,219.611
N1Zr1,aflow:b20c8ae03dde80bb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/N1Zr1_ICSD_185568,187,hP2,219.664
Re1Si2,aflow:e92232a1d7e4b071,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Re1Si2_ICSD_108721,139,tI6,219.691
Hf2W4,aflow:15fd035ef87df0cb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hf1W2_ICSD_104289,227,cF24,219.822
C2Nb4P2,aflow:bcd5afce9a25828f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/C1Nb2P1_ICSD_43009,194,hP8,219.828
O6Rh4,aflow:3ce8003aeb9f3629,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/ORh_pv/A2B3_hR10_167_c_e-001.BA,167,hR10,219.839
N2V2,aflow:c3c088031652f898,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/N1V1_ICSD_169821,194,hP4,219.854
Al6B4Ru8,aflow:aed874a0f92764de,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Al3B2Ru4_ICSD_43844,123,tP18,219.914
B6Hf2Ni21,aflow:ea1f8c9af42e6a4b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/B6Hf2Ni21_ICSD_614444,225,cF116,219.95
Re8Sc4,aflow:1c0045eff83689ed,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Re2Sc1_ICSD_650085,194,hP12,220.071
Al4Pt12,aflow:d8bd8c3afee2608e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Al1Pt3_ICSD_107439,127,tP16,220.108
Os8Y4,aflow:cb33da202450d95b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Os2Y1_ICSD_150518,194,hP12,220.288
Mo2O4,aflow:de9041235c02ee69,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Mo1O2_ICSD_644069,136,tP6,220.302
Ir4Lu2,aflow:281b1a764ef9cfd4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ir2Lu1_ICSD_104491,227,cF24,220.422
O4Pt2,aflow:d466c5b24118e5e7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/O2Pt1_ICSD_647316,136,tP6,220.527
Cu1Pt7,aflow:52e2ca0d6eb63c1d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu1Pt7_ICSD_108775,225,cF32,220.533
O4Pt2,aflow:a0bf6292499f3088,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/O2Pt1_ICSD_202407,58,oP6,220.582
C1Ta1,aflow:fa86f8c9aa68d247,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ta1_ICSD_185993,216,cF8,220.633
B12Tb1,aflow:e6bb61b62442dc3a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/B12Tb1_ICSD_615534,225,cF52,220.656
Al1Re1,aflow:ffb0e8968a4b8d8c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Al1Re1_ICSD_58146,221,cP2,220.767
C8U4W4,aflow:159163a4966d3a1a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/C2U1W1_ICSD_619037,62,oP16,220.858
C1Zr1,aflow:b652e182b2677f30,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Zr1_ICSD_159874,225,cF8,220.867
N6Ta2Th2,aflow:b11889f2f9b5bc66,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/N3Ta1Th1_ICSD_247344,63,oS20,220.92
Al2Mo6,aflow:8fee9dfc096e994a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Al1Mo3_ICSD_57999,223,cP8,220.922
B12Er1,aflow:4b14719a380e0154,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/B12Er1_ICSD_613695,225,cF52,220.933
Mo3Ti1,aflow:dbd2b2ac1b4a0bab,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCI/Mo3Ti1_ICSD_168952,71,oI8,221.103
O14Pt4Sb4,aflow:94728fb708ce29e7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Pt2Sb2_ICSD_108965,227,cF88,221.178
Al8C4Mo12,aflow:e05cd47388a45cb4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Al0.4C0.2Mo0.6_ICSD_606230,213,cP24,221.206
Be2N4Si2,aflow:15717f6d60d159de,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Be1N2Si1_ICSD_44112,122,tI16,221.348
B28,aflow:0259d68674b800c3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/B28_ICSD_164658,58,oP28,221.433
Nb6Rh6,aflow:6a7c00c46d0034ad,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Nb1Rh1_ICSD_645264,51,oP12,221.456
Hf1Rh3,aflow:c38c54f6fd9ccec1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Hf1Rh3_ICSD_104266,221,cP4,221.583
N1Pa1,aflow:94a7e01d9960eb16,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/N1Pa1_ICSD_644621,225,cF8,221.75
Ir2Nb6,aflow:dbaf10591325ea9f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ir1Nb3_ICSD_104512,223,cP8,221.783
Ho4Os8,aflow:c2968980189cbf94,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ho1Os2_ICSD_639531,194,hP12,221.857
Fe4Si4,aflow:f0fd4512e05329d4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Fe1Si1_ICSD_36188,198,cP8,222.14
Hf4O8,aflow:f199dc9d57adb100,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Hf1O2_ICSD_173968,62,oP12,222.234
Re8Sc4,aflow:fcf6e3f7975df32a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Re2Sc1_ICSD_105890,194,hP12,222.3
Nb1Rh1,aflow:6672c8d58bf571b2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Nb1Rh1_ICSD_105213,123,tP2,222.415
Ga2Mo6,aflow:6d92dc3bd5d26628,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ga1Mo3_ICSD_103816,223,cP8,222.439
B8Th2W2,aflow:26d9422c3b0df1e5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/B4Th1W1_ICSD_615588,65,oS24,222.575
Ni4P4Ta5,aflow:891e018564452531,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ni4P4Ta5_ICSD_646154,87,tI26,222.689
Nb4Pt4Si4,aflow:7b1d6693ba7e7cf3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Nb1Pt1Si1_ICSD_90433,62,oP12,222.788
Al2C6Nb8,aflow:3e06d4bedd955b6a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Al1C3Nb4_ICSD_160754,194,hP16,222.822
C1Cr1,aflow:df3b1dca4b13cd2c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Cr1_ICSD_181710,225,cF8,223.033
Ni4P4Ta4,aflow:44605f0be9425c0d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ni1P1Ta1_ICSD_646155,62,oP12,223.173
Pt3V1,aflow:070d1a4de1bb3fe4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Pt3V1_ICSD_105841,221,cP4,223.35
Be2Mo6,aflow:3c1fc15dfd5cabac,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Be1Mo3_ICSD_58715,223,cP8,223.556
Pt3Zr1,aflow:f62d1b72f499b218,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Pt3Zr1_ICSD_105858,221,cP4,223.6
B6Hf3Ni20,aflow:bde2e5bd35d6ec8d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/B6Hf3Ni20_ICSD_614442,225,cF116,223.817
Hf3Os3Si3,aflow:3aba48db17f47517,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Hf1Os1Si1_ICSD_638753,189,hP9,224.023
Mn1V1,aflow:c6d068e985f2a15e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Mn1V1_ICSD_104998,221,cP2,224.467
Cr1O2,aflow:8d47ab0cd595e5b5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cr1O2_ICSD_186838,225,cF12,224.494
Os4Si4,aflow:f11d4e973cc8a324,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Os1Si1_ICSD_15692,198,cP8,224.574
Ni16Si7Ta6,aflow:9c3b576a5969b889,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ni16Si7Ta6_ICSD_109219,225,cF116,224.583
Mo6Si4,aflow:9222875ff7d04782,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Mo3Si2_ICSD_644412,127,tP10,224.628
C2Mg2N4,aflow:58fe68b5f9920e5b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/C1Mg1N2_ICSD_44110,122,tI16,224.651
N1Zr1,aflow:e917b3e6c78be74b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/N1Zr1_ICSD_181144,221,cP2,224.85
C2Nb2,aflow:5cf3f0f94eab4d50,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/C1Nb1_ICSD_189092,194,hP4,225.053
Nb6Os2,aflow:0c4781673ab00865,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Nb3Os1_ICSD_105184,223,cP8,225.283
Al1Tc2,aflow:2333c0f263184005,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Al1Tc2_ICSD_609480,139,tI6,225.36
Mo8P5,aflow:e27395c80060fd47,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/Mo8P5_ICSD_15058,6,mP13,225.482
C4Nb16Rh8,aflow:a3cca7c11dd99072,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb4Rh2_ICSD_618493,227,cF112,225.506
Ir1V1,aflow:1638a35ca98e8127,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ir1V1_ICSD_104589,123,tP2,225.643
Rh4Si4,aflow:076adc806cdc6385,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Rh1Si1_ICSD_182504,198,cP8,225.697
Ge6W10,aflow:f47437478abdc5a1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ge3W5_ICSD_638119,140,tI32,225.721
B8Rh8Tb2,aflow:eeaa25c6506f3816,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/B4Rh4Tb1_ICSD_615322,137,tP18,225.94
Al1Pt3,aflow:03988d8bec1cfd41,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Al1Pt3_ICSD_107869,221,cP4,225.972
Rh3Ti1,aflow:2912c3468b1bd6b8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Rh3Ti1_ICSD_105955,221,cP4,225.972
P7Ru12Sc2,aflow:b24a7033c6d80571,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/P7Ru12Sc2_ICSD_77791,174,hP21,226.107
Hf2N4,aflow:498446871e4b60b5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Hf1N2_ICSD_290428,194,hP6,226.598
Os4P4Zr4,aflow:227ef61671f0da9a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Os1P1Zr1_ICSD_647720,62,oP12,226.905
Nb4Rh4Si4,aflow:9bc6f40af65534e5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Nb1Rh1Si1_ICSD_90434,62,oP12,227.176
O3W1,aflow:3476587550814183,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/O3W1_ICSD_108651,221,cP4,227.467
C1Rh1,aflow:7be5615d2447110a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Rh1_ICSD_183172,216,cF8,227.583
B8Dy2Rh8,aflow:2117ba53713d1039,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/B4Dy1Rh4_ICSD_613679,137,tP18,227.596
C6Ir10,aflow:1379caa519e811ca,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/C3Ir5_ICSD_181485,55,oP16,227.643
Hf1Os1,aflow:e958030590a0d0bd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Hf1Os1_ICSD_104252,221,cP2,227.65
Nb8O10,aflow:8e322aaec561d397,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Nb4O5_ICSD_39595,137,tP18,227.741
B1Hf1Rh3,aflow:4dcc43262f37534a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/B1Hf1Rh3_ICSD_614447,221,cP5,227.789
B8Ho2Rh8,aflow:9f3c65fa123a9d62,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/B4Ho1Rh4_ICSD_601533,137,tP18,227.847
C4Ni8Ta16,aflow:b9ae23dfe8fd531b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ni2Ta4_ICSD_618567,227,cF112,227.933
B8Er2Rh8,aflow:90dedce1ab633737,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/B4Er1Rh4_ICSD_49631,137,tP18,228.294
B1Rh6Ti2,aflow:8af29b635e51b3f7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/B1Rh6Ti2_ICSD_415337,225,cF36,228.317
B8Mo2U2,aflow:f63f1516da1306c3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/B4Mo1U1_ICSD_614852,65,oS24,228.375
Mg4O12Si4,aflow:fe60676520725e77,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Mg1O3Si1_ICSD_41659,62,oP20,228.431
B8Rh8Y2,aflow:e09b5a1f3f9dbc74,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/B4Rh4Y1_ICSD_44569,137,tP18,228.711
C4Cr12Nb12,aflow:a09fe58198dad403,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Cr3Nb3_ICSD_76131,227,cF112,228.894
O4V2,aflow:c8381e74e56f350a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/O2V1_ICSD_10141,136,tP6,229.051
C4Nb8,aflow:1567e729c43c13dc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/C1Nb2_ICSD_31973,62,oP12,229.144
B6Ni21U2,aflow:35da6b84199f2098,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/B6Ni21U2_ICSD_44533,225,cF116,229.267
B8Rh8Th2,aflow:88ed31ffc6166706,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/B4Rh4Th1_ICSD_601578,137,tP18,229.36
P1Rh2,aflow:4ca2b630d8cbb6dd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/P1Rh2_ICSD_38356,225,cF12,229.683
C1Tc1,aflow:3faccddce4b6bc29,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Tc1_ICSD_183167,225,cF8,230.128
N4Ni8Ta16,aflow:05d40d048cd26a94,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/N1Ni2Ta4_ICSD_644599,227,cF112,230.322
Al8O12,aflow:c9b85a6eb23d3036,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Al2O3_ICSD_151590,60,oP20,230.569
O3Re1,aflow:04c1e3d16ba9bf64,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/O3Re1_ICSD_105546,221,cP4,230.85
B12Th1,aflow:372524132de0a17d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/B12Th1_ICSD_108086,225,cF52,231.011
Ge4Ir4Nb4,aflow:3dcd0c27cff52597,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ge1Ir1Nb1_ICSD_411883,62,oP12,231.048
Ge2Mo6,aflow:82c3a184dc022f11,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ge1Mo3_ICSD_53717,223,cP8,231.461
C1Ru3Sc1,aflow:6969ed5a893c0533,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/C1Ru3Sc1_ICSD_77391,221,cP5,231.661
Ge4O8,aflow:e22f5d71c7644345,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ge1O2_ICSD_281601,205,cP12,231.802
B12Zr1,aflow:b8aa0d8cb9a0b8c1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/B12Zr1_ICSD_23861,225,cF52,231.972
Pt3Ti1,aflow:ba3acf5ce3afd378,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Pt3Ti1_ICSD_185640,221,cP4,232.028
Si4W6,aflow:8bd98faf69c418bc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Si2W3_ICSD_652552,127,tP10,232.122
Al4O6,aflow:0b650eb4deb8d439,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/AlO/A2B3_hR10_167_c_e-001.AB,167,hR10,232.129
Ni3P3Rh3,aflow:b999085f2279f8f3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ni1P1Rh1_ICSD_646131,189,hP9,232.256
B4N4,aflow:7b7f919191e3fb3c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/B1N1_ICSD_162883,70,oF32,232.497
B4Nb6,aflow:0449551808fa2508,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/B2Nb3_ICSD_107319,127,tP10,233.135
Ru1Ta1,aflow:5d73fe9948f76b16,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ru1Ta1_ICSD_650690,221,cP2,233.233
Hf4Pt12,aflow:05d3592526d7ddc7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Hf1Pt3_ICSD_104258,194,hP16,233.41
O2Zr1,aflow:50c9df791c600123,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O2Zr1_ICSD_105553,225,cF12,233.528
Hf1Pt3,aflow:79fbdb28bd68ab29,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Hf1Pt3_ICSD_185652,221,cP4,233.611
Mo4P4Rh4,aflow:95d30c8563173fc5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Mo1P1Rh1_ICSD_644093,62,oP12,233.677
C1Mo1,aflow:f97128015d6366e7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Mo1_ICSD_183166,216,cF8,233.828
N8Si6,aflow:48bdcbf1fee8d266,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/N4Si3_ICSD_100135,176,hP14,234.141
Ir2V6,aflow:6ed7d44f936c0d3e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ir1V3_ICSD_104592,223,cP8,234.461
Cr1N1,aflow:3f6ff80616013748,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cr1N1_ICSD_152809,225,cF8,234.5
Al1Ir1,aflow:7372464395d0b3c6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Al1Ir1_ICSD_57928,221,cP2,234.556
B2Nb2Ni2,aflow:470fae67dedb78ed,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/B1Nb1Ni1_ICSD_43005,63,oS12,234.595
N1Pt1,aflow:8d732ca5f829e99c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/N1Pt1_ICSD_167865,225,cF8,235.089
B8Re2Th2,aflow:9c25b1f295d1a064,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/B4Re1Th1_ICSD_615254,65,oS24,235.119
C4V8,aflow:6e548620b60419c9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/C1V2_ICSD_108192,60,oP12,235.336
